Nome das Grandes Regiões,incompleto - Amarela,Incompleto - Branca, incompleto - Indígena,incompleto - Parda,Incompleto - Preta,Superior completo - Amarela,Superior completo - Branca,Superior completo - Indígena,Superior completo - Parda,Superior completo - Preta
Centro-Oeste,70.07510729613733,1765.1952789699571,23.068669527896997,2325.5751072961375,318.1051502145923,50.562231759656655,1550.6201716738196,5.313304721030043,769.1802575107296,103.02145922746782
Nordeste,48.30897936419409,1083.745119910764,13.914110429447852,2261.60736196319,364.6899051868377,15.234244283324038,619.81929726715,2.6391522587841605,505.40379252649194,76.25543781372002
Norte,59.363028953229396,1116.761692650334,44.15812917594655,3205.759465478842,311.80400890868594,20.853006681514476,578.8685968819599,5.293986636971047,742.6146993318486,76.56347438752783
Sudeste,79.61151079136691,4009.465227817746,9.229016786570744,2891.902278177458,648.8890887290167,104.13129496402878,3459.7164268585134,3.4124700239808154,646.7955635491606,150.9640287769784
Sul,21.536195286195287,2919.983164983165,8.313973063973064,633.0993265993266,160.12878787878788,26.456228956228955,1689.141414141414,1.3846801346801347,105.67340067340068,30.845959595959595
