,Escolaridade,Macroregiao Maior N. Pess.,N. de Pessoas
2,Superior completo - Indígena,Rio de Janeiro,1349
4,Superior completo - Preta,Rio de Janeiro,64065
0,Superior completo - Amarela,SÒo Paulo,94626
3,Superior completo - Parda,Rio de Janeiro,225602
1,Superior completo - Branca,SÒo Paulo,1527567
