Código IBGE do Município;Nome das Grandes Regiões;Nome da Microregião;incompleto - Amarela;Incompleto - Branca; incompleto - Indígena;incompleto - Parda;Incompleto - Preta;Superior completo - Amarela;Superior completo - Branca;Superior completo - Indígena;Superior completo - Parda;Superior completo - Preta
130083;Norte;Coari;12;130;0;678;20;5;26;0;164;0
130090;Norte;Purus;0;341;11;947;27;0;61;0;112;6
130100;Norte;Juruß;62;569;0;1824;187;0;106;0;389;18
130110;Norte;Manaus;84;751;13;3251;297;9;109;0;255;29
130115;Norte;Manaus;31;627;33;1802;137;22;30;0;334;0
130120;Norte;Coari;164;1295;42;5916;566;19;396;31;1236;57
130130;Norte;Coari;26;297;0;1691;94;0;95;0;267;11
130140;Norte;Juruß;28;547;26;1624;101;0;254;0;419;11
130150;Norte;Juruß;0;413;0;681;39;6;113;0;175;9
130160;Norte;Alto Solim§es;10;265;17;1563;88;0;35;0;251;9
130165;Norte;Juruß;0;181;8;846;30;0;80;0;126;5
130170;Norte;Madeira;52;913;107;3216;206;19;611;16;622;33
130180;Norte;Juruß;6;419;0;926;79;12;79;0;112;10
130185;Norte;Manaus;53;791;39;3834;191;14;179;0;561;31
130190;Norte;Itacoatiara;18;2264;10;8644;270;4;778;0;1617;22
130195;Norte;Juruß;3;110;0;270;0;0;42;0;69;0
130200;Norte;Itacoatiara;12;236;0;831;19;5;55;0;146;0
130210;Norte;Japurß;6;98;36;483;28;0;23;0;78;5
130220;Norte;Juruß;13;120;0;582;0;0;25;0;83;0
130230;Norte;Alto Solim§es;0;271;37;1069;22;0;35;10;188;4
130240;Norte;Purus;26;757;42;1855;179;0;234;0;307;39
130250;Norte;Manaus;70;1449;24;8208;316;0;376;10;947;23
130255;Norte;Manaus;0;534;60;2494;129;0;41;0;172;20
130260;Norte;Manaus;3196;65153;436;179768;11824;1366;49573;350;57501;3440
130270;Norte;Madeira;15;1504;41;3388;156;10;241;0;645;34
130280;Norte;Japurß;12;320;38;1104;69;0;41;0;97;10
130290;Norte;Parintins;88;947;258;4542;158;0;228;24;927;6
130300;Norte;Parintins;7;144;6;2008;38;0;21;7;283;5
130310;Norte;Itacoatiara;0;355;58;2489;156;0;80;0;422;0
130320;Norte;Rio Negro;4;240;29;1026;49;6;152;0;235;10
130330;Norte;Madeira;40;251;5;1520;69;5;61;0;247;19
130340;Norte;Parintins;34;1794;91;13327;361;46;673;0;2531;111
130350;Norte;Boca do Acre;18;320;77;468;40;0;134;4;95;22
130353;Norte;Rio Preto da Eva;57;724;0;2802;182;10;256;0;388;25
130356;Norte;Rio Preto da Eva;45;876;83;2278;426;9;48;0;229;27
130360;Norte;Rio Negro;0;98;641;676;94;0;31;135;57;15
130370;Norte;Alto Solim§es;0;150;448;1197;44;0;14;0;205;0
130380;Norte;Rio Negro;11;269;3057;947;102;0;181;405;125;29
130390;Norte;Alto Solim§es;0;266;1143;1344;55;0;38;16;203;0
130395;Norte;Parintins;4;169;0;1079;42;5;14;0;84;0
130400;Norte;Itacoatiara;0;147;8;1116;4;0;65;4;169;0
130406;Norte;Alto Solim§es;10;966;1099;3863;222;11;493;30;715;58
130410;Norte;Purus;0;328;38;1132;77;4;96;4;173;0
130420;Norte;TefÚ;66;1131;77;5245;253;50;606;0;1413;64
130423;Norte;Alto Solim§es;6;213;106;1276;87;0;48;1;265;7
130426;Norte;TefÚ;4;213;15;443;57;0;41;0;98;0
130430;Norte;Parintins;4;307;0;1941;39;6;85;0;180;10
130440;Norte;Itacoatiara;5;374;9;1835;15;0;32;0;169;5
140002;Norte;Boa Vista;0;91;110;344;15;3;11;0;33;0
140005;Norte;Boa Vista;12;271;158;760;47;6;87;10;151;5
140010;Norte;Boa Vista;417;9039;967;26981;2717;272;8630;262;9960;942
140015;Norte;Nordeste de Roraima;2;147;379;636;39;6;29;22;165;16
140017;Norte;Nordeste de Roraima;30;173;137;1053;85;0;103;5;182;21
140020;Norte;CaracaraÝ;12;446;0;1592;134;6;65;0;302;40
140023;Norte;Sudeste de Roraima;3;285;50;714;39;0;61;10;126;24
140028;Norte;CaracaraÝ;23;196;14;665;61;2;33;0;107;14
140030;Norte;CaracaraÝ;15;257;15;1213;55;16;93;0;299;21
140040;Norte;Nordeste de Roraima;3;38;432;293;16;0;34;15;73;6
140045;Norte;Boa Vista;8;169;453;441;97;0;73;34;87;10
140047;Norte;Sudeste de Roraima;68;595;0;2099;238;11;214;11;406;20
140050;Norte;Sudeste de Roraima;6;218;9;511;68;4;65;0;139;16
140060;Norte;Sudeste de Roraima;20;281;0;481;79;0;83;0;135;20
140070;Norte;Nordeste de Roraima;4;7;446;115;26;0;3;14;14;6
150010;Norte;Cametß;118;4091;24;12309;1222;9;949;0;2170;205
150013;Norte;Paragominas;0;291;9;590;73;0;44;0;74;3
150020;Norte;TomÚ-Aþu;101;470;0;3475;216;24;133;0;239;51
150030;Norte;Furos de Breves;18;409;0;1666;95;0;110;0;255;19
150034;Norte;Parauapebas;99;1132;0;1764;165;0;57;0;42;27
150040;Norte;SantarÚm;123;1076;0;3897;366;0;167;0;543;22
150050;Norte;Almeirim;41;630;0;2786;138;0;385;0;834;30
150060;Norte;Altamira;228;3630;177;9619;1313;65;1124;4;1607;362
150070;Norte;Furos de Breves;19;354;0;1021;154;0;45;0;99;10
150080;Norte;BelÚm;688;19580;0;60449;5433;174;6393;26;12151;1715
150085;Norte;Altamira;57;463;28;1268;184;0;107;0;131;14
150090;Norte;Bragantina;13;438;0;3334;213;0;47;0;197;27
150095;Norte;Guamß;43;484;0;1934;165;0;50;0;217;36
150100;Norte;Itaituba;27;307;73;1663;135;0;32;7;107;0
150110;Norte;Portel;61;297;0;1067;157;0;8;0;95;0
150120;Norte;Cametß;12;670;0;3035;485;0;105;0;409;25
150125;Norte;SÒo FÚlix do Xingu;0;99;4;175;22;4;26;0;3;3
150130;Norte;BelÚm;114;3284;0;12513;1004;26;920;0;1489;150
150140;Norte;BelÚm;1980;57102;403;154755;17787;1479;53111;156;62605;6563
150145;Norte;SantarÚm;38;220;27;1466;92;0;26;0;200;15
150150;Norte;BelÚm;62;2088;26;6399;669;0;279;0;889;87
150157;Norte;Paragominas;18;390;82;933;122;0;85;18;157;31
150160;Norte;Bragantina;12;329;0;1139;94;0;27;0;68;8
150170;Norte;Bragantina;64;1892;0;10774;632;25;701;0;1691;81
150172;Norte;Altamira;58;595;5;1181;182;0;87;0;96;30
150175;Norte;Marabß;6;169;9;657;64;0;41;0;82;4
150178;Norte;TucuruÝ;34;1067;0;4069;294;0;176;0;298;31
150180;Norte;Furos de Breves;75;1478;0;4531;539;0;363;0;692;86
150190;Norte;Castanhal;18;597;0;2438;397;0;31;0;81;40
150195;Norte;Guamß;11;195;4;1254;83;0;5;0;59;6
150200;Norte;Arari;16;291;0;1943;215;0;48;0;131;0
150210;Norte;Cametß;97;3451;5;10366;874;38;592;0;1073;121
150215;Norte;Parauapebas;93;926;0;2620;249;71;316;11;214;36
150220;Norte;Bragantina;78;2761;29;6480;441;41;412;0;821;45
150230;Norte;Guamß;46;1134;14;3427;113;0;201;0;464;12
150240;Norte;Castanhal;408;6837;30;19550;1542;169;2222;12;2924;282
150250;Norte;Arari;0;216;0;922;129;0;12;0;107;0
150260;Norte;Salgado;5;357;5;1256;39;0;42;0;113;4
150270;Norte;ConceiþÒo do Araguaia;205;1499;35;3903;559;81;661;11;681;94
150275;Norte;TomÚ-Aþu;29;556;0;2760;230;12;58;0;180;33
150276;Norte;SÒo FÚlix do Xingu;8;177;17;679;64;0;62;0;52;0
150277;Norte;Parauapebas;26;530;0;1846;185;5;127;0;122;25
150280;Norte;Furos de Breves;0;273;0;1597;78;10;100;0;181;0
150285;Norte;SantarÚm;5;210;0;1113;79;5;52;0;204;4
150290;Norte;Salgado;8;773;0;3703;150;0;41;0;170;14
150293;Norte;Paragominas;98;1719;0;4921;483;0;415;0;534;59
150295;Norte;Parauapebas;36;575;0;2204;239;13;95;0;185;51
150300;Norte;Ëbidos;0;163;6;804;13;0;35;0;98;0
150304;Norte;ConceiþÒo do Araguaia;60;445;10;1229;139;17;97;5;215;21
150307;Norte;Guamß;23;155;0;1902;61;9;44;0;215;21
150309;Norte;Paragominas;12;838;20;1941;323;0;102;0;171;78
150310;Norte;Portel;63;526;0;1853;79;0;32;0;124;10
150320;Norte;Bragantina;73;964;0;3411;150;9;128;0;384;12
150330;Norte;Cametß;22;1383;0;3912;410;24;168;0;443;41
150340;Norte;Castanhal;6;130;0;988;143;0;30;0;93;14
150345;Norte;Guamß;136;701;5;3147;390;0;115;0;301;19
150350;Norte;Guamß;13;546;0;2589;169;0;109;0;238;0
150360;Norte;Itaituba;214;4083;68;9530;1509;22;802;0;1060;168
150370;Norte;TucuruÝ;83;979;10;3276;325;0;136;0;347;44
150375;Norte;Itaituba;0;201;283;339;155;0;12;14;69;0
150380;Norte;TucuruÝ;78;1727;21;4467;656;33;201;0;412;54
150390;Norte;Ëbidos;104;809;11;4699;206;32;106;0;466;0
150400;Norte;Cametß;0;542;0;1524;178;0;117;0;259;21
150405;Norte;Guamß;29;664;0;1898;181;0;223;0;271;67
150410;Norte;Salgado;3;211;0;802;8;0;20;0;63;0
150420;Norte;Marabß;276;7195;62;24122;2194;93;2356;25;3629;466
150430;Norte;Salgado;0;719;0;2871;77;0;69;0;206;10
150440;Norte;Salgado;0;950;0;2881;136;0;106;0;163;10
150442;Norte;BelÚm;78;4423;41;15126;1593;33;787;0;1170;157
150445;Norte;Altamira;97;905;22;1702;369;0;45;0;89;37
150450;Norte;Portel;0;117;0;628;11;0;29;0;155;6
150460;Norte;Cametß;48;610;8;1857;295;0;79;0;261;51
150470;Norte;TomÚ-Aþu;101;1255;0;5302;655;10;102;12;415;77
150480;Norte;SantarÚm;67;1362;26;5284;230;8;184;0;571;58
150490;Norte;Arari;20;976;0;2886;250;0;62;0;150;0
150495;Norte;Guamß;9;330;0;1177;79;19;94;0;146;0
150497;Norte;TucuruÝ;5;330;0;1149;134;6;30;0;128;37
150500;Norte;Bragantina;18;290;0;1396;91;0;47;0;106;0
150503;Norte;Itaituba;11;1788;0;1691;244;0;512;0;118;10
150506;Norte;TucuruÝ;66;1462;27;4433;446;0;199;0;445;29
150510;Norte;Ëbidos;40;1412;0;4030;497;0;219;0;247;10
150520;Norte;Cametß;0;239;0;1591;58;16;50;0;201;0
150530;Norte;Ëbidos;26;1250;104;5658;561;0;475;0;701;144
150540;Norte;Guamß;0;228;0;1520;68;6;0;0;131;21
150543;Norte;SÒo FÚlix do Xingu;76;574;11;2527;190;40;167;8;324;21
150548;Norte;Altamira;75;662;0;2406;276;0;109;0;243;40
150549;Norte;Marabß;6;174;3;634;60;0;23;0;40;3
150550;Norte;Paragominas;154;2699;57;8725;1432;28;967;0;1320;96
150553;Norte;Parauapebas;367;5799;18;17345;1970;63;1934;11;2098;315
150555;Norte;RedenþÒo;11;112;0;433;59;0;42;0;61;11
150560;Norte;Bragantina;7;231;0;612;75;0;24;0;65;2
150563;Norte;RedenþÒo;44;227;0;797;96;0;77;0;88;5
150565;Norte;SantarÚm;21;534;4;1650;268;0;34;0;136;20
150570;Norte;Arari;13;602;0;2472;178;0;76;0;319;0
150580;Norte;Portel;16;553;6;2227;146;8;195;13;341;41
150590;Norte;Almeirim;9;474;0;1932;161;0;81;0;405;54
150600;Norte;SantarÚm;0;249;0;2076;51;0;114;0;251;15
150610;Norte;Bragantina;5;248;0;829;79;11;34;0;61;0
150611;Norte;Bragantina;0;419;0;929;41;5;70;0;42;5
150613;Norte;RedenþÒo;200;3204;0;7612;1092;22;1011;0;1040;93
150616;Norte;RedenþÒo;60;785;11;1402;193;6;148;0;199;31
150618;Norte;Paragominas;28;1543;21;4352;266;0;385;0;566;44
150619;Norte;Itaituba;75;1345;0;3048;216;0;138;0;346;58
150620;Norte;Salgado;0;1045;8;5342;94;0;145;0;319;21
150630;Norte;Arari;7;349;0;2222;364;0;78;0;230;28
150635;Norte;BelÚm;26;466;0;1894;198;15;53;0;113;8
150640;Norte;Arari;11;197;0;892;192;0;18;0;46;14
150650;Norte;Castanhal;152;1574;9;6878;885;47;337;0;770;63
150655;Norte;Guamß;6;310;44;1351;54;0;45;0;150;3
150658;Norte;ConceiþÒo do Araguaia;42;387;34;1077;122;6;61;0;160;27
150660;Norte;Bragantina;14;695;0;2098;102;0;139;0;134;18
150670;Norte;ConceiþÒo do Araguaia;334;2019;0;6011;986;27;305;0;501;55
150680;Norte;SantarÚm;408;9301;341;35198;2722;89;3537;37;6828;535
150690;Norte;Bragantina;2;128;0;775;24;0;6;0;35;0
150700;Norte;Castanhal;49;933;0;2752;161;16;121;0;256;20
150710;Norte;Salgado;7;403;0;1630;42;0;18;0;71;0
150715;Norte;Marabß;44;689;0;2143;163;19;102;0;140;55
150720;Norte;Guamß;0;265;0;1985;158;0;36;0;296;13
150730;Norte;SÒo FÚlix do Xingu;242;4032;60;8927;1694;9;461;0;388;40
150740;Norte;Bragantina;13;314;0;1663;62;0;43;6;90;0
150745;Norte;RedenþÒo;38;666;27;1507;238;10;218;0;340;43
150746;Norte;Salgado;0;70;0;640;3;0;5;0;53;0
150747;Norte;Salgado;10;368;0;1658;115;0;32;0;106;5
150750;Norte;Marabß;25;207;0;1018;153;0;32;0;89;19
150760;Norte;Guamß;25;769;0;5257;256;0;188;10;492;50
150770;Norte;Furos de Breves;0;553;0;2165;26;0;40;0;103;0
150775;Norte;RedenþÒo;0;164;0;345;19;3;48;0;23;5
150780;Norte;Altamira;4;138;11;680;64;0;41;0;108;18
150790;Norte;Arari;48;584;31;2248;275;0;153;0;382;23
150795;Norte;TomÚ-Aþu;210;2588;11;7901;1144;12;281;0;344;58
150796;Norte;Salgado;12;358;0;1069;47;0;15;0;95;10
150797;Norte;Ëbidos;6;544;5;1828;38;22;89;0;179;5
150800;Norte;TomÚ-Aþu;91;1294;21;4540;524;54;190;0;310;45
150803;Norte;Bragantina;0;326;0;2420;33;0;23;0;145;0
150805;Norte;Itaituba;33;593;8;1118;118;6;84;0;42;25
150808;Norte;SÒo FÚlix do Xingu;27;1864;0;2807;377;8;312;0;273;43
150810;Norte;TucuruÝ;121;3348;23;8520;1098;33;1040;0;1508;196
150812;Norte;Paragominas;28;1746;0;3560;364;0;201;0;79;31
150815;Norte;Altamira;39;1600;14;3871;356;10;193;0;247;0
150820;Norte;Salgado;25;1514;9;4587;230;0;342;0;628;48
150830;Norte;Guamß;51;982;10;3672;244;12;76;0;389;0
150835;Norte;Altamira;35;478;14;1036;157;0;21;0;122;5
150840;Norte;RedenþÒo;176;1609;8;3467;437;18;481;0;488;70
160005;Norte;Macapß;0;190;0;523;46;0;53;0;55;2
160010;Norte;Amapß;4;158;0;804;52;0;28;0;123;0
160015;Norte;Macapß;0;203;0;879;90;7;35;4;127;36
160020;Norte;Oiapoque;7;253;0;848;157;5;31;0;106;26
160021;Norte;Macapß;3;133;0;548;37;0;33;0;63;12
160023;Norte;Macapß;0;146;3;494;97;0;38;0;59;14
160025;Norte;Macapß;0;66;0;416;34;3;7;0;33;0
160027;Norte;MazagÒo;21;1241;23;4676;476;12;191;0;458;79
160030;Norte;Macapß;834;13628;33;34629;5600;149;10614;101;15826;2701
160040;Norte;MazagÒo;38;302;0;980;165;7;37;0;144;42
160050;Norte;Oiapoque;0;453;797;1682;223;0;166;29;267;50
160053;Norte;Macapß;59;558;0;1765;152;6;62;0;290;26
160055;Norte;Amapß;5;64;0;404;57;0;3;0;49;3
160060;Norte;Macapß;162;3232;0;10003;946;10;1314;0;2483;244
160070;Norte;Amapß;12;312;0;1179;97;5;68;0;121;20
160080;Norte;MazagÒo;15;303;0;1266;118;0;11;0;132;12
170025;Norte;Miracema do Tocantins;6;92;0;221;22;0;36;0;65;9
170030;Norte;Bico do Papagaio;13;124;0;489;52;0;25;0;55;0
170035;Norte;Gurupi;25;155;0;499;61;17;78;0;137;11
170040;Norte;Dian¾polis;7;124;3;549;112;0;66;0;126;21
170070;Norte;Gurupi;31;355;0;838;51;0;186;0;216;12
170100;Norte;Bico do Papagaio;30;204;0;844;93;26;151;0;255;26
170105;Norte;Bico do Papagaio;0;71;0;330;18;0;29;0;84;11
170110;Norte;Porto Nacional;0;88;0;260;44;0;50;0;64;3
170130;Norte;AraguaÝna;7;86;0;422;48;0;38;0;107;7
170190;Norte;Miracema do Tocantins;4;157;0;516;45;0;48;0;168;7
170200;Norte;Rio Formoso;22;463;0;630;117;0;168;0;189;10
170210;Norte;AraguaÝna;510;5383;37;14855;2155;281;4221;9;4545;584
170215;Norte;AraguaÝna;24;114;0;481;45;8;36;0;101;11
170220;Norte;Bico do Papagaio;106;640;9;2689;405;17;370;0;751;43
170230;Norte;AraguaÝna;0;212;0;691;42;3;90;0;143;14
170240;Norte;Dian¾polis;0;99;9;673;180;7;150;0;328;142
170255;Norte;Bico do Papagaio;19;376;0;1437;120;2;193;0;271;18
170270;Norte;Dian¾polis;7;38;3;263;38;2;23;0;92;13
170290;Norte;Bico do Papagaio;15;263;0;857;108;0;91;0;144;35
170300;Norte;AraguaÝna;4;276;0;1135;73;2;71;0;161;9
170305;Norte;AraguaÝna;8;89;0;219;47;4;28;0;53;11
170307;Norte;JalapÒo;4;120;0;389;11;0;31;0;55;14
170310;Norte;Miracema do Tocantins;2;199;0;466;20;0;77;0;86;0
170320;Norte;Miracema do Tocantins;25;157;0;407;9;16;78;0;83;2
170330;Norte;Porto Nacional;8;104;0;321;57;0;25;0;68;0
170360;Norte;Miracema do Tocantins;0;50;0;207;7;4;17;0;55;10
170370;Norte;Gurupi;6;85;0;508;105;6;47;0;100;50
170380;Norte;Bico do Papagaio;42;249;6;1008;148;6;119;0;215;40
