Código IBGE do Município;Nome das Grandes Regiões;Nome da Microregião;incompleto - Amarela;Incompleto - Branca; incompleto - Indígena;incompleto - Parda;Incompleto - Preta;Superior completo - Amarela;Superior completo - Branca;Superior completo - Indígena;Superior completo - Parda;Superior completo - Preta
221130;Nordeste;Valenþa do PiauÝ;29;624;0;1927;281;20;212;0;539;32
221135;Nordeste;SÒo Raimundo Nonato;4;136;0;302;65;0;27;0;75;0
221140;Nordeste;Valenþa do PiauÝ;0;109;0;282;77;0;55;0;71;7
221150;Nordeste;Alto MÚdio CanindÚ;3;96;0;164;5;0;2;0;14;0
221160;Nordeste;Alto MÚdio CanindÚ;6;155;0;217;3;6;42;0;43;2
221170;Nordeste;Picos;10;82;0;392;22;0;9;0;33;0
230010;Nordeste;Brejo Santo;10;338;0;849;71;0;66;0;91;9
230015;Nordeste;BaturitÚ;4;323;0;1748;84;0;67;0;190;0
230020;Nordeste;Litoral de Camocim e Acara·;8;1950;22;5296;299;10;444;0;536;11
230030;Nordeste;SertÒo de Senador Pompeu;114;2282;21;4193;170;9;417;0;374;0
230040;Nordeste;SertÒo de Inhamuns;34;460;0;1086;103;6;108;0;147;7
230050;Nordeste;Meruoca;21;248;0;926;84;5;34;0;171;6
230060;Nordeste;Caririaþu;10;223;0;547;58;3;63;0;70;8
230070;Nordeste;Baixo Jaguaribe;92;731;0;1225;82;10;115;0;71;18
230075;Nordeste;Itapipoca;59;1560;0;4430;137;10;347;0;424;0
230080;Nordeste;Vßrzea Alegre;6;331;0;316;126;3;65;0;50;8
230090;Nordeste;MÚdio Curu;73;703;0;1277;61;14;126;0;166;13
230100;Nordeste;Fortaleza;244;2613;64;6703;308;12;855;0;856;21
230110;Nordeste;Litoral de Aracati;40;2701;12;7173;396;20;707;11;1395;34
230120;Nordeste;BaturitÚ;152;979;0;2331;118;19;239;0;272;19
230125;Nordeste;SertÒo de CratÚus;22;449;0;775;51;0;64;0;99;7
230130;Nordeste;Chapada do Araripe;48;632;0;1579;95;0;151;0;189;0
230140;Nordeste;BaturitÚ;30;194;40;1093;70;8;73;5;160;16
230150;Nordeste;SertÒo de Inhamuns;12;312;0;634;34;0;115;0;48;2
230160;Nordeste;Chapada do Araripe;8;982;0;1575;102;0;316;0;179;0
230170;Nordeste;Barro;29;887;0;1612;24;0;377;0;208;8
230180;Nordeste;Lavras da Mangabeira;11;301;4;517;32;8;44;0;84;0
230185;Nordeste;SertÒo de Quixeramobim;26;644;0;1376;52;9;159;0;134;9
230190;Nordeste;Cariri;109;1574;32;5410;507;10;963;0;1143;84
230195;Nordeste;Chorozinho;5;305;0;2215;47;9;50;0;312;5
230200;Nordeste;Barro;54;795;0;1639;114;0;287;0;228;22
230205;Nordeste;Litoral de Camocim e Acara·;17;414;0;1193;67;4;59;0;199;4
230210;Nordeste;BaturitÚ;18;1171;0;3381;252;5;269;0;445;14
230220;Nordeste;Cascavel;55;2166;10;4658;98;8;416;0;570;33
230230;Nordeste;Litoral de Camocim e Acara·;14;1328;0;3602;206;0;247;0;366;0
230240;Nordeste;SertÒo de Quixeramobim;43;1950;0;3667;107;22;337;0;431;20
230250;Nordeste;Brejo Santo;53;1927;0;4196;255;22;994;0;666;25
230260;Nordeste;Litoral de Camocim e Acara·;91;1744;34;6137;359;6;394;0;683;0
230270;Nordeste;Chapada do Araripe;75;1202;0;1768;150;13;349;0;352;17
230280;Nordeste;CanindÚ;82;2306;10;7348;267;21;555;0;1116;51
230290;Nordeste;BaturitÚ;20;591;0;1818;125;0;94;0;229;11
230300;Nordeste;CanindÚ;23;792;0;1550;155;3;115;0;117;0
230310;Nordeste;Sobral;25;682;0;1692;79;0;184;5;124;10
230320;Nordeste;Caririaþu;42;896;11;1914;148;0;253;0;271;10
230330;Nordeste;Vßrzea Alegre;27;1087;6;1298;120;0;133;5;73;10
230340;Nordeste;Ibiapaba;6;1077;0;1099;61;0;195;0;113;0
230350;Nordeste;Cascavel;61;2862;15;7281;257;0;553;0;679;23
230360;Nordeste;SertÒo de Inhamuns;0;828;0;1532;132;0;203;0;139;0
230365;Nordeste;Santa QuitÚria;3;373;0;1099;23;6;62;0;138;4
230370;Nordeste;Fortaleza;1007;14176;474;34797;3015;173;3219;51;4180;328
230380;Nordeste;Iguatu;68;1096;0;1521;192;9;303;0;288;0
230390;Nordeste;Litoral de Camocim e Acara·;25;337;0;1121;49;6;69;0;173;16
230393;Nordeste;SertÒo de Quixeramobim;56;340;0;1227;69;0;40;0;144;21
230395;Nordeste;Chorozinho;8;700;0;1740;89;0;149;0;160;0
230400;Nordeste;Corea·;45;1012;0;1672;203;7;287;0;148;0
230410;Nordeste;SertÒo de CratÚus;130;2893;83;6112;424;55;1369;9;925;108
230420;Nordeste;Cariri;174;5484;30;10895;1289;84;4547;10;2872;220
230423;Nordeste;Ibiapaba;82;581;0;1871;55;0;61;0;75;0
230425;Nordeste;Litoral de Camocim e Acara·;10;1212;0;2316;186;0;257;0;148;0
230426;Nordeste;SertÒo de Senador Pompeu;7;504;0;761;37;0;33;0;38;5
230427;Nordeste;Serra do Pereiro;4;346;0;441;82;3;95;0;64;0
230428;Nordeste;Fortaleza;145;2304;31;3774;554;40;896;0;688;9
230430;Nordeste;Caririaþu;57;817;8;1924;123;0;205;0;231;10
230435;Nordeste;Sobral;18;1044;0;2471;183;10;208;0;215;0
230440;Nordeste;Fortaleza;5254;130966;751;239438;18181;2518;119171;148;80782;4177
230445;Nordeste;Litoral de Aracati;5;587;0;1506;72;0;107;0;176;16
230450;Nordeste;Corea·;16;528;0;960;46;11;233;0;160;14
230460;Nordeste;MÚdio Curu;26;212;0;404;21;3;40;0;70;2
230465;Nordeste;Sobral;29;510;0;952;50;0;150;0;153;0
230470;Nordeste;Litoral de Camocim e Acara·;151;1142;22;3815;167;22;325;0;706;11
230480;Nordeste;Caririaþu;9;168;0;406;0;3;27;0;22;2
230490;Nordeste;Sobral;22;681;0;947;22;5;117;0;119;4
230495;Nordeste;Fortaleza;29;646;10;2631;156;14;175;0;208;0
230500;Nordeste;Ibiapaba;102;1558;0;3378;107;14;213;0;379;0
230510;Nordeste;BaturitÚ;2;147;0;471;18;0;29;0;68;0
230520;Nordeste;Santa QuitÚria;14;711;0;1399;68;15;170;0;171;5
230523;Nordeste;Pacajus;137;2972;21;5903;351;32;343;0;557;37
230526;Nordeste;SertÒo de Quixeramobim;20;485;0;1084;57;0;57;0;74;5
230530;Nordeste;Ibiapaba;69;1080;0;2220;56;9;236;0;311;9
230533;Nordeste;Baixo Jaguaribe;0;535;0;1132;6;0;98;0;130;0
230535;Nordeste;Litoral de Aracati;10;864;0;1426;106;0;196;0;138;20
230540;Nordeste;Iguatu;8;2969;0;5484;369;10;709;0;600;73
230550;Nordeste;Iguatu;63;5182;10;8044;354;17;1634;0;1292;125
230560;Nordeste;SertÒo de CratÚus;53;1332;10;1789;149;21;267;0;98;41
230565;Nordeste;SertÒo de CratÚus;28;352;0;1018;37;0;50;0;85;5
230570;Nordeste;Lavras da Mangabeira;12;568;0;797;29;0;150;0;147;16
230580;Nordeste;Ipu;61;1809;0;3146;162;11;655;0;436;40
230590;Nordeste;Ipu;89;1215;0;2574;32;0;251;0;299;8
230600;Nordeste;Serra do Pereiro;52;637;6;963;115;4;199;0;155;13
230610;Nordeste;Sobral;39;716;0;2292;81;0;170;0;198;0
230620;Nordeste;Litoral de Aracati;10;390;0;661;16;0;85;0;145;0
230625;Nordeste;Fortaleza;54;1410;0;3961;247;0;134;0;183;26
230630;Nordeste;Uruburetama;68;2201;22;5194;186;0;382;0;525;26
230640;Nordeste;Itapipoca;277;3665;49;11627;609;59;890;10;1589;97
230650;Nordeste;BaturitÚ;29;548;0;1572;255;5;86;0;181;5
230655;Nordeste;Litoral de Camocim e Acara·;0;1348;212;4080;119;0;223;8;210;24
230660;Nordeste;CanindÚ;69;443;5;1238;71;17;35;0;189;4
230670;Nordeste;MÚdio Jaguaribe;50;786;0;1248;171;0;130;0;120;17
230680;Nordeste;MÚdio Jaguaribe;17;468;0;833;60;0;122;0;124;30
230690;Nordeste;MÚdio Jaguaribe;32;1312;0;2954;149;7;466;0;465;29
230700;Nordeste;Baixo Jaguaribe;50;1873;0;2065;207;0;294;0;243;0
230710;Nordeste;Cariri;58;567;0;2464;249;0;326;0;293;24
230720;Nordeste;Brejo Santo;8;253;0;658;12;0;106;0;124;0
230725;Nordeste;Litoral de Camocim e Acara·;6;899;0;2076;78;5;300;0;218;8
230730;Nordeste;Cariri;335;11944;36;22317;1859;134;5943;5;4439;302
230740;Nordeste;Vßrzea Alegre;0;1051;0;1906;105;12;112;0;181;27
230750;Nordeste;Lavras da Mangabeira;51;1326;0;1993;134;25;522;0;345;13
230760;Nordeste;Baixo Jaguaribe;115;3607;11;4306;474;37;1286;0;652;117
230763;Nordeste;SertÒo de Quixeramobim;22;584;0;1969;67;7;52;0;182;19
230765;Nordeste;Fortaleza;626;10024;459;23059;1606;109;1449;17;2039;82
230770;Nordeste;Fortaleza;195;5528;47;12298;1150;17;845;0;1064;75
230780;Nordeste;Litoral de Camocim e Acara·;25;1050;0;1920;346;0;166;0;248;23
230790;Nordeste;Litoral de Camocim e Acara·;0;282;0;855;29;0;119;0;164;12
230800;Nordeste;Sobral;137;761;9;3796;413;0;243;0;411;22
230810;Nordeste;Barro;36;2027;14;3528;284;17;518;0;467;31
230820;Nordeste;Meruoca;27;350;0;1482;105;21;58;0;138;5
230830;Nordeste;Brejo Santo;36;1161;0;2481;231;0;427;0;228;28
230835;Nordeste;SertÒo de Senador Pompeu;6;751;0;784;35;0;197;0;28;9
230837;Nordeste;Sobral;0;413;0;873;53;6;72;0;153;0
230840;Nordeste;Cariri;22;1229;10;3209;195;21;349;9;379;51
230850;Nordeste;SertÒo de Senador Pompeu;22;1785;0;2548;163;0;326;0;331;0
230860;Nordeste;SertÒo de CratÚus;15;511;240;1269;20;0;135;30;238;0
230870;Nordeste;Baixo Jaguaribe;52;3317;12;4488;272;0;1051;0;716;13
230880;Nordeste;Corea·;0;172;0;1021;48;0;51;0;127;6
230890;Nordeste;Litoral de Camocim e Acara·;41;866;0;1283;140;32;229;0;101;20
230900;Nordeste;Sobral;30;648;0;1102;87;0;146;0;185;14
230910;Nordeste;BaturitÚ;10;367;0;894;52;0;74;0;125;9
230920;Nordeste;Cariri;42;591;0;1143;68;17;131;0;252;9
230930;Nordeste;SertÒo de CratÚus;92;1336;0;2345;89;7;341;0;519;26
230940;Nordeste;SertÒo de CratÚus;86;1369;10;2225;259;0;134;0;196;0
230945;Nordeste;Chorozinho;34;784;9;2509;184;0;79;9;224;10
230950;Nordeste;Iguatu;9;996;0;1959;54;0;205;0;143;7
230960;Nordeste;Pacajus;83;2609;0;6459;351;20;543;0;661;43
230970;Nordeste;Fortaleza;51;3197;177;7187;517;9;437;12;682;45
230980;Nordeste;BaturitÚ;65;356;0;1056;65;15;81;0;253;15
230990;Nordeste;Sobral;21;246;0;438;29;0;81;0;81;2
231000;Nordeste;Baixo Jaguaribe;49;558;0;713;23;0;104;0;88;10
231010;Nordeste;BaturitÚ;17;398;0;1243;113;0;59;0;202;18
231020;Nordeste;Baixo Curu;73;954;10;3069;112;7;490;0;417;31
231025;Nordeste;Baixo Curu;64;1172;0;3571;81;6;182;0;348;9
231030;Nordeste;SertÒo de Inhamuns;22;1475;0;2091;115;0;166;0;128;0
231040;Nordeste;CanindÚ;9;521;0;888;25;0;73;0;83;0
231050;Nordeste;SertÒo de Senador Pompeu;9;1546;0;3903;122;0;323;0;421;0
231060;Nordeste;Brejo Santo;6;233;0;615;12;13;164;0;198;0
231070;Nordeste;MÚdio Curu;55;1547;0;3351;69;29;215;0;415;25
231080;Nordeste;Serra do Pereiro;32;648;0;999;27;8;96;0;164;9
231085;Nordeste;Cascavel;27;834;0;1922;175;0;100;0;190;15
231090;Nordeste;SertÒo de Senador Pompeu;0;872;0;1013;47;0;86;0;83;0
231095;Nordeste;Ipu;15;453;0;883;84;0;78;0;117;16
231100;Nordeste;Ipu;7;454;118;847;34;0;147;16;112;5
231110;Nordeste;Cariri;4;533;0;1461;85;22;118;0;198;22
231120;Nordeste;Chapada do Araripe;0;343;0;682;51;0;148;0;71;4
231123;Nordeste;Serra do Pereiro;7;484;0;285;25;0;98;0;27;3
231126;Nordeste;SertÒo de CratÚus;5;869;10;1517;67;0;182;0;188;0
231130;Nordeste;SertÒo de Quixeramobim;194;3726;0;8495;720;43;1102;0;913;58
231135;Nordeste;Iguatu;0;757;0;1295;0;0;102;0;81;0
231140;Nordeste;SertÒo de Quixeramobim;166;3120;8;6845;632;10;673;0;918;70
231150;Nordeste;Baixo Jaguaribe;0;1052;0;1652;146;5;165;0;128;0
231160;Nordeste;BaturitÚ;0;790;12;2757;125;0;140;0;269;13
231170;Nordeste;Ipu;21;807;0;1097;50;10;275;0;202;0
231180;Nordeste;Baixo Jaguaribe;72;3734;6;6210;390;0;1100;0;666;16
231190;Nordeste;SertÒo de Inhamuns;15;742;0;979;70;11;235;0;151;10
231195;Nordeste;Chapada do Araripe;22;404;0;731;82;0;61;0;107;6
231200;Nordeste;Sobral;74;815;0;2488;276;0;365;0;226;9
231210;Nordeste;Cariri;10;650;0;1706;90;5;178;0;210;8
231220;Nordeste;Santa QuitÚria;81;1637;0;3788;172;25;382;0;635;24
231230;Nordeste;Ibiapaba;47;2042;0;3462;182;11;620;0;419;10
231240;Nordeste;Baixo Curu;28;1644;9;4346;309;0;404;0;569;30
231250;Nordeste;Baixo Jaguaribe;5;357;0;728;26;0;108;0;100;0
231260;Nordeste;MÚdio Curu;0;431;0;1211;50;0;147;0;155;6
231270;Nordeste;SertÒo de Senador Pompeu;131;1106;0;2032;207;13;276;0;235;32
231280;Nordeste;Sobral;36;139;0;724;19;12;38;0;83;3
231290;Nordeste;Sobral;357;8769;3;20387;1695;88;4472;8;3971;263
231300;Nordeste;SertÒo de Senador Pompeu;22;786;0;1486;43;6;246;0;149;13
231310;Nordeste;Baixo Jaguaribe;48;2042;0;1775;159;0;471;0;283;0
231320;Nordeste;SertÒo de CratÚus;69;867;0;2173;60;0;134;0;281;10
231325;Nordeste;Vßrzea Alegre;12;522;0;376;48;0;83;0;50;6
231330;Nordeste;SertÒo de Inhamuns;98;3360;0;3483;529;10;987;0;411;38
231335;Nordeste;MÚdio Curu;34;543;6;1422;33;12;104;0;170;0
231340;Nordeste;Ibiapaba;204;2948;0;5908;302;29;968;0;950;44
231350;Nordeste;Itapipoca;37;1678;11;5394;232;0;417;0;563;45
231355;Nordeste;Uruburetama;5;385;0;1367;47;4;69;0;96;5
231360;Nordeste;Ibiapaba;22;1542;0;3083;99;0;355;0;316;12
231370;Nordeste;Lavras da Mangabeira;3;326;0;484;14;0;100;0;73;3
231375;Nordeste;Uruburetama;8;638;0;1913;33;0;83;0;142;5
231380;Nordeste;Uruburetama;8;620;0;2170;57;0;192;0;217;0
231390;Nordeste;Corea·;11;241;0;1047;24;0;94;0;188;10
231395;Nordeste;Ipu;33;729;0;1466;78;26;204;0;158;15
231400;Nordeste;Vßrzea Alegre;8;1988;0;3226;186;0;609;0;286;16
231410;Nordeste;Ibiapaba;37;1269;15;5242;86;0;193;13;601;0
240010;Nordeste;Serid¾ Oriental;24;549;0;668;76;3;317;0;69;5
240020;Nordeste;Vale do Aþu;156;2860;18;3980;604;15;959;10;751;97
240030;Nordeste;Angicos;18;351;0;739;66;0;61;0;124;0
240040;Nordeste;Serra de SÒo Miguel;0;248;0;146;31;0;33;0;10;2
240050;Nordeste;Pau dos Ferros;21;582;0;814;41;5;219;0;212;22
240060;Nordeste;Umarizal;3;225;0;249;6;0;64;0;47;0
240070;Nordeste;Vale do Aþu;15;603;0;739;62;6;94;0;97;9
240080;Nordeste;Angicos;11;432;0;635;168;0;150;0;119;10
240090;Nordeste;Umarizal;0;395;0;327;28;0;80;0;47;4
240100;Nordeste;Chapada do Apodi;61;1850;0;2327;71;0;621;0;508;39
240110;Nordeste;Mossor¾;31;1109;0;2297;336;0;230;0;446;31
240120;Nordeste;Litoral Sul;22;458;4;931;93;4;139;0;108;20
240130;Nordeste;MÚdio Oeste;3;384;4;403;51;0;128;4;43;17
240140;Nordeste;Litoral Sul;10;354;0;626;18;0;75;0;103;5
240145;Nordeste;Mossor¾;64;601;16;1512;138;12;119;0;79;10
240150;Nordeste;Borborema Potiguar;2;172;0;231;17;0;47;0;16;3
240160;Nordeste;Baixa Verde;16;145;0;409;0;0;32;0;87;7
240165;Nordeste;Serra de Santana;8;158;0;181;8;1;34;0;38;3
240170;Nordeste;Agreste Potiguar;17;304;0;456;41;0;73;0;110;9
240180;Nordeste;Agreste Potiguar;0;412;0;668;19;0;65;0;99;5
240185;Nordeste;Macau;0;218;0;366;64;0;50;0;45;3
240190;Nordeste;Angicos;9;120;0;254;20;0;28;0;26;1
240200;Nordeste;Serid¾ Ocidental;63;5337;0;3445;543;18;2495;0;843;137
240210;Nordeste;Borborema Potiguar;5;564;0;729;28;5;95;0;75;0
240220;Nordeste;Litoral Sul;22;1335;0;2272;128;12;296;11;396;25
240230;Nordeste;Chapada do Apodi;48;890;0;1146;152;26;338;0;264;39
240240;Nordeste;Serid¾ Oriental;6;696;2;299;33;0;137;0;43;10
240250;Nordeste;Vale do Aþu;11;299;6;781;21;0;82;0;115;6
240260;Nordeste;MacaÝba;233;2243;12;4793;549;26;696;0;705;102
240270;Nordeste;Serra de Santana;18;541;0;694;36;5;116;0;146;9
240280;Nordeste;Borborema Potiguar;26;233;0;352;19;0;20;0;29;3
240290;Nordeste;Serra de SÒo Miguel;0;198;0;134;11;0;56;0;25;0
240300;Nordeste;Serid¾ Oriental;0;486;0;386;30;0;105;0;54;5
240310;Nordeste;Serid¾ Oriental;34;3058;0;2064;355;0;1136;0;545;141
240320;Nordeste;Serra de SÒo Miguel;6;391;0;428;27;5;112;0;80;3
240325;Nordeste;Natal;297;12173;33;12973;1477;232;13195;11;6177;817
240330;Nordeste;Serra de SÒo Miguel;2;275;0;254;8;3;145;0;39;3
240340;Nordeste;Serid¾ Oriental;14;392;0;235;10;3;82;0;27;0
240350;Nordeste;Litoral Sul;6;388;0;603;74;0;74;0;55;0
240360;Nordeste;Natal;77;877;11;1970;378;0;251;0;325;11
240370;Nordeste;Chapada do Apodi;0;208;0;370;20;0;71;0;85;3
240375;Nordeste;Angicos;0;95;0;169;7;0;24;0;41;6
240380;Nordeste;Serra de Santana;10;622;0;557;17;0;164;0;95;6
240390;Nordeste;Pau dos Ferros;0;136;0;154;6;0;44;0;48;0
240400;Nordeste;Umarizal;0;240;0;256;14;0;66;0;40;0
240410;Nordeste;Macau;4;56;0;89;14;0;15;0;15;2
240420;Nordeste;Litoral Sul;92;1075;0;1604;264;10;215;0;158;20
240430;Nordeste;Chapada do Apodi;9;601;0;889;80;5;150;0;144;0
240440;Nordeste;Mossor¾;16;373;0;822;36;0;116;0;134;7
240450;Nordeste;Macau;9;519;0;694;176;4;89;0;151;19
240460;Nordeste;Agreste Potiguar;7;258;0;825;18;0;13;0;77;0
240470;Nordeste;Vale do Aþu;36;445;0;1096;87;0;86;0;110;43
240480;Nordeste;Serid¾ Ocidental;0;164;0;76;5;0;56;0;18;7
240485;Nordeste;Vale do Aþu;25;245;0;452;45;6;69;0;80;3
240490;Nordeste;Pau dos Ferros;8;308;0;315;11;8;89;0;67;4
240500;Nordeste;Borborema Potiguar;0;392;0;461;18;0;92;0;46;0
240510;Nordeste;Baixa Verde;13;223;0;433;27;4;44;0;27;5
240520;Nordeste;MÚdio Oeste;20;212;0;360;39;0;59;0;39;9
240530;Nordeste;Agreste Potiguar;6;372;0;560;11;0;57;0;58;0
240540;Nordeste;Borborema Potiguar;0;165;0;353;3;0;18;0;29;0
240550;Nordeste;Angicos;0;25;0;244;6;2;2;0;32;0
240560;Nordeste;Serid¾ Ocidental;6;887;5;470;29;0;151;0;23;6
240570;Nordeste;Serid¾ Oriental;0;1120;5;418;37;5;390;0;90;6
240580;Nordeste;Baixa Verde;80;1352;13;2125;283;12;272;0;289;56
240590;Nordeste;Umarizal;14;101;0;153;3;0;20;0;16;0
240600;Nordeste;Pau dos Ferros;0;351;0;223;15;0;98;0;49;0
240610;Nordeste;Vale do Aþu;31;854;0;994;50;5;194;0;69;6
240615;Nordeste;Agreste Potiguar;7;142;0;259;11;0;9;0;26;3
240620;Nordeste;Agreste Potiguar;7;282;3;316;40;0;56;0;61;4
240630;Nordeste;Agreste Potiguar;7;204;0;445;15;3;32;0;42;3
240640;Nordeste;Borborema Potiguar;0;124;0;157;10;0;13;0;45;0
240650;Nordeste;Serra de Santana;0;487;0;893;84;0;115;0;129;18
240660;Nordeste;Agreste Potiguar;4;326;0;618;19;0;29;0;32;3
240670;Nordeste;Angicos;0;504;0;855;32;0;98;0;105;0
240680;Nordeste;Borborema Potiguar;0;118;0;410;0;2;34;0;68;8
240690;Nordeste;Umarizal;0;189;0;198;25;0;112;0;53;2
240700;Nordeste;Serra de SÒo Miguel;13;449;0;694;51;0;110;0;77;8
240710;Nordeste;MacaÝba;143;3059;13;5823;478;24;574;0;896;41
240720;Nordeste;Macau;81;1264;0;2172;435;14;305;0;426;102
240725;Nordeste;Serra de SÒo Miguel;0;149;0;233;5;2;43;0;27;0
240730;Nordeste;Pau dos Ferros;12;451;0;388;41;0;142;0;65;6
240740;Nordeste;Umarizal;0;427;0;545;30;0;134;0;62;6
240750;Nordeste;Litoral Nordeste;11;298;0;986;101;0;79;0;82;9
240760;Nordeste;MÚdio Oeste;3;149;0;256;10;0;50;0;53;0
240770;Nordeste;Litoral Sul;0;528;0;564;77;10;71;0;85;0
240780;Nordeste;Agreste Potiguar;33;737;0;1499;77;0;172;0;242;12
240790;Nordeste;Borborema Potiguar;2;148;0;121;18;5;26;0;24;0
240800;Nordeste;Mossor¾;763;14593;11;19365;2171;202;9421;11;5379;672
240810;Nordeste;Natal;1294;49867;151;62220;6206;878;48665;108;23712;2387
240820;Nordeste;MacaÝba;63;888;0;1901;165;12;324;0;303;27
240830;Nordeste;Agreste Potiguar;31;1525;7;2075;85;0;420;0;240;0
240840;Nordeste;Umarizal;10;209;0;162;10;0;66;0;46;0
240850;Nordeste;Serid¾ Oriental;0;350;0;135;2;0;120;0;14;0
240860;Nordeste;Pau dos Ferros;3;235;0;156;9;0;31;0;14;5
240870;Nordeste;MÚdio Oeste;12;120;0;237;33;9;36;0;18;3
240880;Nordeste;Baixa Verde;7;125;0;279;10;0;44;0;48;0
240890;Nordeste;Serid¾ Oriental;17;1934;0;626;202;0;550;0;114;30
240895;Nordeste;Litoral Nordeste;0;283;0;804;52;6;38;0;63;0
240910;Nordeste;Agreste Potiguar;22;535;0;649;38;0;104;0;113;0
240920;Nordeste;Agreste Potiguar;3;107;0;148;9;4;20;0;25;4
240930;Nordeste;Umarizal;5;599;0;583;90;0;334;0;73;23
240933;Nordeste;Agreste Potiguar;0;174;0;340;10;0;27;0;62;0
240940;Nordeste;Pau dos Ferros;37;1948;0;1419;187;0;1205;0;365;36
240950;Nordeste;Litoral Nordeste;5;126;0;244;18;0;13;0;44;3
240960;Nordeste;Angicos;0;74;0;169;3;0;8;0;21;0
240970;Nordeste;Angicos;4;189;0;453;16;0;35;0;38;0
240980;Nordeste;Litoral Sul;13;572;0;827;45;0;90;0;71;18
240990;Nordeste;Vale do Aþu;33;615;0;878;254;5;106;0;210;18
241000;Nordeste;Pau dos Ferros;3;160;0;181;30;3;27;0;24;0
241010;Nordeste;Baixa Verde;5;360;0;1073;23;7;91;0;94;22
241020;Nordeste;Pau dos Ferros;0;312;0;425;66;0;112;0;44;14
241025;Nordeste;Vale do Aþu;12;193;3;429;28;4;34;0;49;0
241030;Nordeste;Agreste Potiguar;6;246;5;508;37;0;111;0;87;6
241040;Nordeste;Litoral Nordeste;24;264;0;560;46;0;47;0;100;12
241050;Nordeste;Pau dos Ferros;0;316;0;151;26;0;105;0;22;4
241060;Nordeste;Umarizal;6;305;0;129;7;0;69;0;26;0
241070;Nordeste;Pau dos Ferros;2;119;0;141;27;0;34;0;25;0
241080;Nordeste;Serra de SÒo Miguel;0;262;0;169;11;0;54;0;40;0
241090;Nordeste;Agreste Potiguar;0;175;0;568;14;0;24;0;88;8
241100;Nordeste;Pau dos Ferros;0;218;0;213;22;0;61;0;60;3
241105;Nordeste;Mossor¾;2;196;0;309;21;0;33;0;27;3
241110;Nordeste;Borborema Potiguar;2;126;0;335;0;0;14;0;54;3
241120;Nordeste;Borborema Potiguar;51;1812;6;2348;323;8;760;0;408;30
241140;Nordeste;Serra de Santana;5;524;0;851;42;0;70;0;143;11
241142;Nordeste;Serid¾ Oriental;0;254;0;66;17;0;25;0;5;4
241150;Nordeste;Agreste Potiguar;38;1087;0;1417;33;0;238;0;113;0
241160;Nordeste;Macau;0;84;0;163;45;3;20;0;13;0
241170;Nordeste;Borborema Potiguar;4;177;0;267;17;0;28;0;39;0
241180;Nordeste;Serid¾ Ocidental;0;249;0;96;4;0;61;0;11;0
241190;Nordeste;Pau dos Ferros;12;206;0;187;14;0;101;0;38;0
241200;Nordeste;MacaÝba;81;3699;0;7355;1086;18;593;0;821;153
241210;Nordeste;Serid¾ Ocidental;16;434;0;262;30;0;157;0;64;3
241220;Nordeste;MacaÝba;49;1478;0;3023;267;0;459;0;489;54
241230;Nordeste;Borborema Potiguar;21;560;0;842;43;9;127;0;111;21
241240;Nordeste;Serid¾ Oriental;3;366;0;261;34;0;120;0;37;11
241250;Nordeste;Serra de SÒo Miguel;37;1662;10;686;22;9;580;0;116;26
241255;Nordeste;Litoral Nordeste;7;222;0;442;89;0;95;0;175;19
241260;Nordeste;Agreste Potiguar;11;764;0;988;68;0;174;0;178;10
241270;Nordeste;Agreste Potiguar;4;163;0;347;21;0;33;0;71;3
241280;Nordeste;Vale do Aþu;24;407;4;378;10;0;109;4;58;0
241290;Nordeste;Borborema Potiguar;20;390;0;677;22;7;77;0;94;17
241300;Nordeste;Serra de Santana;3;382;0;271;7;0;111;0;56;0
241310;Nordeste;Agreste Potiguar;4;165;0;462;19;3;26;0;66;9
241320;Nordeste;Litoral Sul;0;112;0;233;16;0;29;0;41;0
241330;Nordeste;Borborema Potiguar;0;286;0;386;23;0;45;0;71;0
241335;Nordeste;Mossor¾;15;505;0;710;48;0;76;0;71;16
241340;Nordeste;Serid¾ Ocidental;8;313;0;339;31;0;92;0;75;0
241350;Nordeste;Agreste Potiguar;5;225;0;487;12;0;27;0;71;0
241355;Nordeste;Umarizal;0;261;3;146;26;0;64;0;18;0
241360;Nordeste;Pau dos Ferros;2;287;0;341;22;5;91;0;58;5
241370;Nordeste;Borborema Potiguar;0;278;0;272;10;0;48;0;38;0
241380;Nordeste;Pau dos Ferros;0;111;0;76;15;0;33;0;8;2
241390;Nordeste;Litoral Nordeste;6;304;0;750;48;0;70;0;60;11
241400;Nordeste;Borborema Potiguar;17;587;0;1010;22;0;94;0;135;0
241410;Nordeste;Pau dos Ferros;10;494;0;481;23;0;95;0;41;4
241415;Nordeste;Serra de Santana;0;283;0;384;3;0;59;0;78;0
241420;Nordeste;Litoral Sul;15;526;0;707;97;0;245;0;183;32
241430;Nordeste;Serid¾ Ocidental;0;164;0;130;6;0;37;0;15;4
241440;Nordeste;Litoral Nordeste;33;1199;0;2263;178;0;218;0;223;8
241445;Nordeste;MÚdio Oeste;0;175;0;240;16;0;8;0;23;10
241450;Nordeste;Umarizal;10;679;0;595;17;9;183;0;98;14
241460;Nordeste;MÚdio Oeste;6;518;0;702;63;0;80;0;123;10
241470;Nordeste;Agreste Potiguar;0;296;0;368;26;0;45;0;51;0
241475;Nordeste;Serra de SÒo Miguel;0;218;0;184;2;0;51;0;3;4
